"filename", "language", "TypeScript", "HTTP", "comment", "blank", "total"
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\configs\database.config.ts", "TypeScript", 29, 0, 0, 6, 35
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\configs\passport.config.ts", "TypeScript", 35, 0, 0, 5, 40
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\constant\EnvVars.ts", "TypeScript", 25, 0, 5, 2, 32
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\constant\HttpStatusCodes.ts", "TypeScript", 64, 0, 259, 64, 387
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\constant\dir.ts", "TypeScript", 2, 0, 0, 2, 4
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\controllers\auth.controller.ts", "TypeScript", 21, 0, 0, 6, 27
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\controllers\group.controller.ts", "TypeScript", 77, 0, 0, 9, 86
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\controllers\post.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\controllers\user.controller.ts", "TypeScript", 138, 0, 0, 24, 162
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\AlreadyExistError.ts", "TypeScript", 12, 0, 3, 5, 20
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\ApiError.ts", "TypeScript", 8, 0, 3, 3, 14
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\ApiErrorCodes.ts", "TypeScript", 103, 0, 5, 27, 135
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\IsNotNumberError.ts", "TypeScript", 12, 0, 3, 3, 18
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\LengthError.ts", "TypeScript", 32, 0, 3, 4, 39
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\NotEmptyError.ts", "TypeScript", 12, 0, 15, 7, 34
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\NotFoundError.ts", "TypeScript", 12, 0, 3, 4, 19
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\NotInEnumError.ts", "TypeScript", 13, 0, 0, 4, 17
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\NotNullError.ts", "TypeScript", 12, 0, 3, 4, 19
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\error\RouteError.ts", "TypeScript", 9, 0, 4, 5, 18
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\helpers\camelCaseifyWithDateConversion.ts", "TypeScript", 53, 0, 17, 12, 82
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\helpers\handlers.ts", "TypeScript", 10, 0, 0, 2, 12
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\helpers\removeNullValue.ts", "TypeScript", 16, 0, 9, 6, 31
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\helpers\sanitation.ts", "TypeScript", 0, 0, 1, 1, 2
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\helpers\validation.ts", "TypeScript", 68, 0, 43, 18, 129
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\index.ts", "TypeScript", 6, 0, 2, 3, 11
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\middlewares\auth.middleware.ts", "TypeScript", 48, 0, 1, 9, 58
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\middlewares\group.middleware.ts", "TypeScript", 52, 0, 0, 4, 56
"c:\Serious Project\chc\chc-backend\identity-service\group-backend-project\src\middlewares\post.middleware.ts", "TypeScript", 0, 0, 0, 1, 1
