"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\configs\database.config.ts", "TypeScript", 27, 0, 6, 33
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\configs\multer.config.ts", "TypeScript", 34, 1, 6, 41
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\configs\passport.config.ts", "TypeScript", 38, 0, 5, 43
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\constant\EnvVars.ts", "TypeScript", 11, 4, 2, 17
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\constant\HttpStatusCodes.ts", "TypeScript", 64, 259, 64, 387
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\constant\dir.ts", "TypeScript", 2, 0, 2, 4
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\auth.controller.ts", "TypeScript", 20, 0, 5, 25
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\comment.controller.ts", "TypeScript", 63, 3, 7, 73
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\group.controller.ts", "TypeScript", 119, 9, 16, 144
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\post.controller.ts", "TypeScript", 114, 12, 15, 141
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\user.controller.ts", "TypeScript", 173, 3, 27, 203
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\enums\group.enum.ts", "TypeScript", 25, 1, 5, 31
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\enums\post.enum.ts", "TypeScript", 15, 0, 3, 18
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\enums\user.enum.ts", "TypeScript", 21, 2, 4, 27
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\ApiError.ts", "TypeScript", 12, 3, 3, 18
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\ApiErrorCodes.ts", "TypeScript", 321, 23, 71, 415
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\NotEmptyError.ts", "TypeScript", 13, 4, 5, 22
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\NotNullError.ts", "TypeScript", 15, 3, 4, 22
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\RouteError.ts", "TypeScript", 15, 4, 5, 24
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\helpers\camelCaseifyWithDateConversion.ts", "TypeScript", 53, 19, 13, 85
